00:00:cleamoon__: 话说初中有java好神奇
00:13:lh_mouse: 国内都有两种教育体制  真够呵呵的
00:13:lh_mouse: 中国教育就是一帮白痴设定的
00:14:cleamoon__: 16上大学早吗？
00:14:cleamoon__: 正常也就17,18吧？
00:14:POPOBE: 不知道--
00:14:POPOBE: 总之随便考个一本就算过了…
00:14:lh_mouse: @张炘炀
00:14:cleamoon__: 我记得国际部高考录取分数低？
00:15:cleamoon__: 学霸
00:15:POPOBE: 没…国际部不高考…
00:15:lh_mouse: 国际部直接考国外去了
00:15:cleamoon__: 那怎么上大学...
00:15:lh_mouse: CMU 啦  MIT 啦
00:15:POPOBE: 我报名了高考
00:15:POPOBE: 但是还在国际部
00:15:cleamoon__: soga
00:15:POPOBE: 平行班没有我的位置--我也不想去…
00:15:cleamoon__: cmu是哪个
00:16:POPOBE: 卡内没基隆
00:16:POPOBE: 是不是这个--
00:16:POPOBE: 卡内基梅陇？
00:16:cleamoon__: 所以你有自信高考985？
00:16:POPOBE: 卡内龙煤机?
00:16:lh_mouse: 985^
00:16:lh_mouse: 国内这种逗比教育体制……
00:16:POPOBE: 上次模拟考610多分
00:16:POPOBE: 上不了985把
00:17:cleamoon__: 村内居民楼
00:17:cleamoon__: 果然学霸呀
00:17:cleamoon__: 虽然不知道610什么概念
00:17:lh_mouse: 学霸受我一拜
00:17:cleamoon__: 985是清华之类的吧
00:17:POPOBE: 北航好像是640多
00:17:POPOBE: 北航就是985
00:17:POPOBE: 清华690多
00:17:cleamoon__: 我记得满分740那个？
00:17:POPOBE: 北理工倒是620就可以上了
00:18:cleamoon__: 690...好高...
00:18:POPOBE: 实在不行大波儿洪去工业大学-=-
00:18:POPOBE: 工业大学妹子多OuO
00:18:POPOBE: 呸
00:18:POPOBE: 化工大写
00:18:POPOBE: 大学
00:18:cleamoon__: 北大多好
00:19:POPOBE: ←←我这样的考上北大，你让那些认真读书的怎怎么活
00:19:cleamoon__: 理工大附中环境超差
00:19:cleamoon__: 哦，那你不是学霸，是学神
00:19:POPOBE: ←←
00:19:lh_mouse: 考上又怎么样  中国根本没天才的土壤
00:20:POPOBE: 我都升在这里了
00:20:POPOBE: 土壤再差
00:20:lh_mouse: 不是长不出天才  而是出来也会死
00:20:POPOBE: 也搬不了了
00:20:erhandsome quit:Quit: leaving
00:21:cleamoon__: 你可以回米国呀
00:23:cleamoon__: 帝都能看的学校真心少
00:23:cleamoon__: 有名的不少，但都没法看
00:23:POPOBE: 我讨厌美国--
00:23:POPOBE: 莫名的自大
00:23:lh_mouse: 哎哟
00:23:POPOBE: 没有底蕴的国家--
00:23:cleamoon__: 来瑞典吧
00:23:lh_mouse: 你不是白人哦
00:24:cleamoon__: 金发妹子全过来
00:24:POPOBE: 我不知道为什么每个男生都要跑过来跟我说army strong
00:25:cleamoon__: 啊？说这个干什么
00:25:xxxxxxxx: 莫名的自大到处不都一样么
00:26:POPOBE: 啊啊啊不知道不知道--
00:26:izmntuk quit:Quit: buh bye!
00:27:cleamoon__: 米国似乎唯一好处是富人收入高，买东西便宜
00:27:POPOBE: 还好-=-
00:27:cleamoon__: 哪里还好？
00:27:POPOBE: 我打工一个月可以挣400刀
00:28:POPOBE: 一个月4天，8个小时一天
00:28:cleamoon__: 和我上学一个月差不多耶
00:28:POPOBE: 呸
00:28:POPOBE: 一个星期4天
00:28:lh_mouse: 我刚想说土豪
00:28:POPOBE: 2333
00:28:xxxxxxxx: 吓坏我了
00:29:cleamoon__: 一个月4天可以打7份工...
00:29:POPOBE: 23333
00:29:cleamoon__: 不过那是不是略少...
00:29:POPOBE: 不过挣来的钱50刀交话费，200多买东西吃
00:30:POPOBE: 还有啥--
00:30:cleamoon__: 吃货妹子
00:30:POPOBE: 反正一个月没剩的
00:30:POPOBE: 蔬菜死贵好么QAQ！！！！
00:30:cleamoon__: 卖肉
00:30:cleamoon__: 买肉
00:31:POPOBE: ←←
00:31:xxxxxxxx: 卖屁股
00:31:POPOBE: 总之现在的我没有经济来源了
00:31:cleamoon__: 我们这里鸡屁股和鸡翅一个价格.....
00:31:cleamoon__: 流落街头了
00:31:lh_mouse: 你爸爸在国内还是国外
00:32:POPOBE: 到处晃
00:32:POPOBE: 大多在国内
00:32:lh_mouse: 那你怎么会去美国读高中
00:32:lh_mouse: 有亲戚？
00:32:POPOBE: 不知道--初中就被丢出去了
00:32:POPOBE: 放养的
00:32:POPOBE: 有认识的一家美国人
00:33:POPOBE: 不过他们只是载具而已--
00:33:lh_mouse: 话说中国移动今天信号真是不错  lh_cat 一天都没掉线
00:33:cleamoon__: 放养的一般肉质鲜嫩
00:33:cleamoon__: 你每天骑着他们上学？
00:33:POPOBE: -=-
00:33:POPOBE: 哪儿那么好运
00:34:POPOBE: 委托他们带我去趟商店都像是欠他多少一样
00:34:cleamoon__: 去商店干什么还要带着
00:35:POPOBE: 30多公里呢--
00:35:cleamoon__: 你就自己去，然后跑去警察局报虐待，讹死他们
00:35:POPOBE: 他们跟我没有任何责任关系--
00:35:cleamoon__: 你在沙漠里居住吗
00:35:xxxxxxxx: 30公里说走就走的旅行
00:35:xxxxxxxx: 来个气球
00:35:POPOBE: 2333
00:35:cleamoon__: 那就说他们抢你的不就好了
00:36:POPOBE: 你查查印第安纳
00:36:POPOBE: 再查查印第安纳的巴西市
00:36:cleamoon__: 一般是30公里说死就死的旅行
00:36:cleamoon__: 你是去挖宝的吧
00:36:POPOBE: 然后是最近的大点的有商店的城市terre haut
00:36:POPOBE: 不会拼了--
00:36:xxxxxxxx: 需要一大把气球
00:36:POPOBE: 好像中文是特雷霍特
00:37:cleamoon__: 莫非是我大衰神罗拉
00:37:POPOBE: 我爸说安全--
00:37:POPOBE: 呵呵--呵呵呵呵--
00:37:cleamoon__: 大隐隐于市，最安全的地方肯定是华盛顿，白宫里
00:38:xxxxxxxx: 你隐的太大了
00:38:lh_mouse: 朝鲜人抢粮杀人
00:38:cleamoon__: 一般抢不到白宫
00:39:POPOBE: 我觉得这很正常，墨西哥人还天天抢美国人东西呢-=-
00:39:cleamoon_: 23333  360新推出的搜索服务是“好搜”，有意思的是，访问“不好搜” （http://buhaosou.com ）时，会被自动重定向到百度。
00:40:POPOBE: -=-
00:40:POPOBE: 怎么回事，你后面的两个下划线少了一个
00:40:xxxxxxxx: 访问不好搜没有跳出一大堆网页真是不让人信服
00:41:POPOBE: safe=0 钙片妥妥的
00:41:cleamoon__: 我去弄个 burangsou.com 指向google
00:41:lh_mouse: cleamoon__, destination unreachable
00:42:cleamoon__: 2333
00:42:POPOBE: gmail 被封的那天，我和我过去的生活彻底失联了--
00:42:POPOBE: 以前facebook登不上去还可以邮件回复
00:43:cleamoon__: 给我用户名密码，我给你发过去
00:43:POPOBE: ←←
00:43:cleamoon__: 出门
00:43:POPOBE: ***********@gmail.com
00:43:POPOBE: *************
00:43:xxxxxxxx: 别担心 很快你就会忘记这件事 然后快快乐乐刷微博的
00:44:cleamoon__: 现在不是微信吗
00:44:lh_mouse: 基本不用 SNS
00:45:POPOBE: 我连qq都不用--
00:45:POPOBE: 微信也不用--
00:45:POPOBE: 都没朋友我上哪儿跟人聊天啊--
00:45:lh_mouse: 自 娱 自 乐
00:46:POPOBE: 我现在不就在自娱自乐么…
00:46:cleamoon__: 你怎么看出我们都是AI的
00:46:lh_mouse: 广告 https://github.com/lhmouse/poseidon
00:46:xxxxxxxx: 大天朝局域网万岁 我们不需要美帝的监控 我们自己要搞自己的监控
00:46:POPOBE: github 前段时间连不上
00:47:lh_mouse: 自觉 GAE
00:47:cleamoon__: 真局域网就好了，一人10个ip地址
00:47:cleamoon__: 走了
00:48:POPOBE: 拜拜-=-
00:48:cleamoon__: 各位腋间愉快
00:48:xxxxxxxx: 一人十个也是平均出来的
00:49:lh_mouse: 大局域网不应该是直接上 物理地址么
00:49:POPOBE: 对对对！
00:49:POPOBE: 我也纠结过这个问题
00:50:POPOBE: 不过后来想通了
00:50:POPOBE: 我当时就想为什么以太网封装里面还要套个ip封装
00:50:POPOBE: 既然硬件地址是唯一对应
00:50:POPOBE: 直接硬件地址转发不就好了
00:51:POPOBE: 后来觉得满世界找一个特定的硬件地址好像挺难得--、
00:51:lh_mouse: 所以 ip 是按段分配的
00:52:POPOBE: 恩，可惜当时的设计者没有想到ip协议会变成互联网通行协议
00:52:POPOBE: 更没想到互联网发展的那么大
00:53:POPOBE: 他哪怕手抖多加个点
00:53:POPOBE: 现在也没那么纠结了
00:53:lh_mouse: POPOBE, 爆照
00:54:POPOBE: --
00:54:POPOBE: 怎么还想着呢--
00:54:POPOBE: 我1m63，45公斤，没什么可看的
00:54:lh_mouse: 睡觉了
00:54:POPOBE: 拜拜
00:54:lh_mouse quit:Quit: Meow
00:58:POPOBE left channel:
01:05:xxxxxxxx quit:Quit: Leaving...
05:03:boosure joined channel
06:00:endle joined channel
07:20:MisakaMikoto quit:*.net *.split
07:20:OO_after quit:*.net *.split
07:20:hysw_logbot quit:*.net *.split
07:22:MisakaMikoto joined channel
07:22:OO_after joined channel
07:22:hysw_logbot joined channel
09:07:lh_mouse joined channel
09:47:POPOBE joined channel
09:47:whatofor joined channel
09:58:whatofor_1 joined channel
10:00:whatofor quit:Ping timeout: 244 seconds
10:11:hoxily|rest joined channel
10:12:hoxily|rest left channel:
10:15:AngelC joined channel
10:18:AngelC: QAQ
10:20:AngelC quit:Client Quit
10:21:POPOBE: Hahahhah
10:21:POPOBE: 你们看
10:21:POPOBE: https://i.imgur.com/35JRfgo.jpg
10:27:TwitchGG joined channel
10:28:lh_bot: 哇  你这么吊  你家里人知道么
10:30:POPOBE: ………
10:52:hysw: POPOBE: 把智商交出来
10:55:POPOBE: hysw: hhhh
10:58:POPOBE: hysw: 看懂的那一下把我笑死了
10:58:hysw: POPOBE: 我是学渣...
10:58:hysw: 所以需要智商
10:58:POPOBE: ………
10:58:lh_mouse: 学霸云自重
11:02:POPOBE: 不过它里面写错了
11:02:POPOBE: 应该不会输出0
11:04:lh_mouse: geordi, { int x = 10; while(x --> 0){ printf("%d ", x); } }
11:04:geordi: 9 8 7 6 5 4 3 2 1 0 
11:04:lh_mouse: POPOBE, 
11:04:lh_mouse: geordi, --precedence x --> 0
11:04:geordi: (x --)> 0
11:04:lh_mouse: geordi, --precedence x -->* 0
11:04:geordi: (x --)>(* 0)
11:05:lh_mouse: geordi, replace -- with -
11:05:geordi: x ->* 0
11:06:lh_mouse: 印尼承认亚航客机失事存监管漏洞 TOM MCCAWLEY 
11:06:lh_mouse: 印尼交通部称QZ8501航班在没有获得当天飞行所需的所有监管许可的情况下，获准从印尼泗水起飞。官员称，新加坡批准了该航班，印尼并未批准。该部已将数名官员停职。
11:06:POPOBE: 会输出0么…
11:06:POPOBE: 我回去试试
11:07:lh_mouse: 中国取消稀土配额限制 美联社 
11:07:lh_mouse: 商务部今年新贸易管理指引显示，中国不再限制稀土出口。此前，美国等贸易伙伴曾以中国管制稀土出口违反自由贸易承诺为由向WTO提起诉讼，中国败诉。 
11:08:erhandsome joined channel
11:10:Sleepwalking joined channel
11:19:hysw: POPOBE:直接分析一下就完了...
11:20:POPOBE: 我分析不会打印1
11:20:POPOBE: 他们说会…
11:20:POPOBE: 呸
11:20:POPOBE: 0
11:20:POPOBE: 我分析不会打印0
11:38:lh_mouse: geordi, { int x = 10; while(x DEC_UNTIL 0){ printf("%d ", x); } } \ #define DEC_UNTIL --> \
11:38:geordi: 9 8 7 6 5 4 3 2 1 0 
12:00:Stevearzh joined channel
12:02:lh_cat quit:Ping timeout: 265 seconds
12:10:lh_cat joined channel
12:11:lh_mouse: 终于掉线了
12:18:yzld2002 joined channel
13:32:cleamoon_: geordi, { int x = 10; while(x --> 15){ printf("%d ", x); } }
13:32:geordi: <no output>
13:33:cleamoon_: 果然
13:36:cleamoon_: http://mtmos.com/v1/mss_3d027b52ec5a4d589e68050845611e68/ff/n0/0b/9n/f6_198791.jpg
13:38:dantmnf: wpcap
13:42:cleamoon_: http://news.ifeng.com/a/20150106/42869522_0.shtml
13:44:lh_bot: geordi: << TYPE(jmp_buf);
13:44:geordi: error: template argument 1 is invalid
13:44:lh_bot: geordi: << TYPE<jmp_buf>;
13:44:geordi: __jmp_buf_tag [1]
13:44:lh_bot: crap
13:55:lh_bot: geordi: << sizeof(jmp_buf);
13:55:geordi: 200
14:10:FrankHB: geordi: << sizeof(__jmp_buf_tag[ULONGLONG_MAX]);
14:10:geordi: error: 'ULONGLONG_MAX' was not declared in this scope
14:11:T2 joined channel
14:11:FrankHB: geordi: << sizeof(__jmp_buf_tag[std::numeric_limits<unsigned long long>::max()]);
14:11:geordi: error: size of array 'type name' is too large
14:11:FrankHB: geordi: << sizeof(__jmp_buf_tag[std::numeric_limits<int>::max()]);
14:11:geordi: 429496729400
14:15:Stevearzh quit:Read error: Connection reset by peer
14:16:Stevearzh joined channel
14:18:lh_mouse: geordi, << ULLONG_MAX; // FrankHB 
14:18:geordi: 18446744073709551615
14:32:boosure quit:Ping timeout: 256 seconds
15:09:hysw: "但实际上除了开发者以外谁都维护不了的代码才是好代码"
15:14:lh_mouse: 某种意义上讲不算错
15:15:lh_mouse: 逗比都能维护的代码换种说法就是弱智
15:15:hoxily|rest joined channel
15:19:POPOBE: Kiss
15:24:sismvg joined channel
15:25:T2 quit:Ping timeout: 255 seconds
15:31:sismvg: fuck cloud
15:31:sismvg: fuck the cloud
15:35:FrankHB: 逗比说法。显然没考虑开发者过几天变成逗比和逗比过几天变成开发者的常见需求。
15:36:lh_mouse: 帝球很快就会变成开发者了
15:38:sismvg: http://f.hiphotos.bdimg.com/album/s%3D1000%3Bq%3D90/sign=6e42b98734d12f2eca05aa607ff2ee13/1f178a82b9014a90e3ad9eedab773912b21beecb.jpg?v=tbs
15:38:sismvg: 太叼了
15:40:FrankHB: 吱一直在和开发者之间振荡。
15:40:FrankHB: 虽然我不知道吱状态和撸码状态哪个更接近贤者模式。
15:41:Sleepwalking quit:Ping timeout: 264 seconds
15:42:sismvg: http://bbs.hupu.com/8208497.html
15:42:sismvg: 百度》谷歌？
15:45:sismvg: 文章明显吧谷歌的缺点拿了出来和百度的优点比
15:47:sismvg: 在法律方面谷歌有数字版权法，著作权法，隐私法绊着，而百度则很“自由”，当然出现相关法律政策神马的大家抖动
15:47:sismvg: 都懂
15:50:FrankHB: 关不了内容过滤都是渣。谁叫度娘死蠢挂在墙上。
15:51:FrankHB: 有一个没提，就是快照一开始百度明显领先，但是后来就没什么意思了。当然，是不是打得开另说。
15:51:varna joined channel
15:51:varna: POPOBE: 爆
15:51:FrankHB: 只是最近几年被艹掉的贴都看不了，所以比较鸡肋。
15:52:varna: FrankHB: 爆
15:52:FrankHB: 之前百度搜贴吧贴都普遍不如谷歌，最近几年只能说总算恢复常识水平了。
15:53:sismvg: 百度：快排 google:快排
15:54:varna: sismvg: 你在说ranking?
15:54:sismvg: 没有
15:55:sismvg: google搜出来都是算法，百度搜出来算法一半，什么鬼物一半
15:57:sismvg: 谷歌的广告投放灰常强大，你能在sex.com上看见屠龙宝刀
16:00:yzld2002 quit:Remote host closed the connection
16:02:lh_bot: FrankHB: 何谓贤者模式
16:04:lh_bot: BAT3 里面李彦宏的学历最高不假
16:08:izmntuk joined channel
16:15:varna: lh_bot: 贤者模式就是看小黄本时候手上下的模式
16:19:FrankHB: ……的完成时。
16:21:varna: 未必
16:21:varna: 对我来说一般是完成进行时
16:23:FrankHB: 断了么。
16:24:iyzsong: gnu.org挂了?
16:25:lh_bot: varna: 没看懂
16:26:izmntuk: iyzsong: 我这里也访问不了
16:26:iyzsong: 2333
16:27:izmntuk: 翻墙试试？--我这里没有翻墙环境……
16:28:sismvg: gcc.gnu.org可以，其他不行
16:28:sismvg: 翻墙环境
16:30:varna: lh_bot: 就是撸管的时候
16:31:iyzsong: 嗯,GNU挂了一片..
16:38:hoxily|rest joined channel
16:39:lh_mouse: varna, 跟贤者有什么关系
16:39:erhandsome quit:Ping timeout: 255 seconds
16:39:varna: lh_mouse: 不知道谁发明的这词
16:39:lh_mouse: 贤者模式 == ？？
16:40:lh_mouse: 或者 贤者模式 := ？？
16:42:sismvg: 贤者模式不是撸完以后对宇宙进行反思的阶段嘛？
16:42:varna: 你太快
16:43:sismvg: 进入贤者模式以后会有一股罪恶感
16:50:sismvg: http://tieba.baidu.com/p/3513585623
16:50:sismvg: 又要出现个卷均百万的怪物了
16:54:whatofor_1 quit:Read error: Connection reset by peer
17:51:T2 joined channel
17:53:T2: varna: 给张地图吧，上次的没存
17:55:varna: 等下
17:56:varna: http://picpaste.com/mapbase-YzDRFWz3.png
17:57:T2: varna: thx
17:58:TwitchGG quit:Ping timeout: 264 seconds
18:00:T2 quit:Quit: KVIrc 4.2.0 Equilibrium http://www.kvirc.net/
18:00:T2 joined channel
18:02:varna: 哦对
18:02:varna: 有没有人有兴趣给这次的美日双方支招的
18:06:T2: varna: 我要复纵阵，2333。
18:07:T2: 他在北边我还能活到瓜岛么。
18:07:T2: 不是 savo岛
18:09:varna: 我在北边的话我不知道你排什么真能活到萨沃岛，他就不知道了
18:10:T2: 我强烈要求地图往东扩展个300海里
18:10:T2: orz
18:11:varna: 哦，如果你开出这个范围的话我觉得日军就不用跟你打什么歼灭战了
18:11:varna: 他们可以直接歼灭岛上的美军
18:11:T2: 我竟然生在这么坑爹的出生点
18:11:T2: 算了，我习惯了。
18:12:varna: 我觉得你还是头脑一片混沌
18:14:T2: 这倒没，只要他不在太近的北边我还是有救。
18:14:varna: 你似乎搞错了什么事情，不过如果这种事情都能搞错那我也没必要提示了
18:15:varna: 各舰各弹种的分配想好之后在推演开始之前告诉我就行
18:15:varna: 我以开始之前的最后一次决定为准
18:16:T2: 纯AP
18:16:T2: 闪光烟雾配置不变
18:17:varna: 你冷静下
18:17:T2: 好的orz
18:17:varna: 这么配一看就是不过大脑
18:18:T2: 我看看能穿dd甲的玩意
18:18:T2: 还能爆的
18:18:varna: 不止这么点事
18:18:varna: 破事很多，看你能想多少
18:19:lh_bot: geordi: << is_const_v<const int &>;
18:19:geordi: false
18:19:lh_bot: geordi: << is_const_v<const int >;
18:19:geordi: true
18:19:lh_bot: geordi: << is_const_v<const int [100]>;
18:19:geordi: true
18:19:T2: 好的
18:20:condy joined channel
18:20:T2: 我竟然在这么远的地方orz
18:21:varna: 你要是希望来个五轮内全主力舰被打得生活不能自理我也可以满足
18:21:T2: 好吧算了。
18:23:Xilzzert joined channel
18:23:varna: 毕竟这世界上存在过两舷安装合计十座四十门鱼雷发射管的东西
18:24:T2: = =
18:25:lh_cat quit:Ping timeout: 244 seconds
18:25:boosure joined channel
18:26:varna: 脑洞大过天的第九战队在纸面上还是很厉害的
18:26:Xilzzerts quit:Ping timeout: 256 seconds
18:26:T2: 稍微比预想远了点，不过原来那个战术还是挺好。
18:26:Sleepwalking joined channel
18:27:* varna 笑
18:27:T2: BB的移动可能要变
18:27:Sleepwalking left channel:
18:27:varna: 对自己有自信是很危险的事
18:27:T2: 还往南是作死
18:27:T2: 我要往北，大家一起。
18:28:varna: 正中下怀
18:28:T2: = =
18:29:varna: 为什么不多想想敌人可能怎么打呢……
18:30:T2: 我想想看2333
18:30:varna: 如果你全队全速开过去，可能都不知道怎么回事就先吃了点好玩的东西
18:33:T2: 如果他分两边全速冲过来可能都不知道怎么回事我就被窝在家里爆掉了。
18:34:varna: 我都如此明显地提示你了，你还是不知道我在说什么的话……
18:34:T2: 好吧我想想看
18:34:T2: savo岛你再大点不行么草
18:35:varna: 鸟不拉屎的敌方，想想盟军2的六面
18:35:varna: 地方*
18:35:varna: 而且我就说一点
18:36:varna: 萨沃岛越大对你越不利
18:38:T2: 怎么看都是堵在家里捅死的节奏。
18:38:varna: 为什么你看到的东西跟我看到的完全不一样
18:39:T2: 我算算看，他似乎比我还难打
18:40:T2: 前提是他不在我北面 = =
18:40:lh_cat joined channel
18:41:Plough joined channel
18:41:varna: Plough: 你脱裤
18:41:Plough: varna: 你自爆
18:42:Plough: 我每天回来光补给远征队就得300弹药……
18:43:varna: 算上自然回复其实还可以
18:43:Plough: 看着心疼
18:44:varna: 那是错觉，其实你是尻疼
18:44:Plough: 铁相何在！
18:45:Plough: 这几天先赌电探
18:45:T2: 好吧，我知道怎么搞了。
18:45:varna: 今天为了庆祝动画上映，一发6572+1之后温暖两岸
18:45:Plough: 233333
18:46:Plough: 我决定在娶大凤之前先不大建
18:46:varna: 周末我接着造
18:46:Plough: 现在大凤Lv94，估计还需要大坨弹药
18:46:varna: 眼没花的话油弹还剩一万九
18:47:varna: 钢还是缺点
18:47:Plough: 油9k弹5k钢25k铝16k
18:48:Plough: 这周末我去接受幼女治疗以及练大鸟
18:48:varna: 钢还有一万三，周末还可以继续造
18:49:Plough: 局座：“你造吧，你就造不出来”
18:49:varna: 凤翔在我手里
18:49:Plough: 四页Lv60达成
18:49:Plough: 凤翔瞬间就会被明斯克干掉
18:50:varna: 四页……我四页略惨
18:50:lh_cat quit:Ping timeout: 264 seconds
18:50:varna: 川内（69）-陆奥（65）
18:50:Plough: 高雄62-长门60
18:50:Plough: Lv60附近大陀重航巡……
18:50:Plough: 坨*
18:51:varna: lv60的似乎不少幼女
18:51:varna: 岛风（69）欠雪（65）绫波（65）秋月（65）雪风（62）
18:51:Plough: 我这边幼女还是鶸
18:52:Plough: 娶完大鸟打算集中练下
18:52:varna: 懒得练，太麻烦了
18:52:varna: 我就打打演习好了
18:52:Plough: Lv60以上的只有POI响爷时雨天津风……
18:52:Plough: 亲王差一点
18:53:varna: 余下是ぽい（86）响爷（74）时雨（71）
18:53:Plough: Orz
18:53:varna: 驱逐队还是不行啊……
18:53:varna: 这几位后来都是被3-5吊打出来的
18:54:Plough: 哦哦这个潜艇队好
18:54:Plough: Lv130Lv130Lv131Lv131
18:55:lh_cat joined channel
18:56:T2: 这BB只能等他冲脸来我往东北转了
18:57:varna: 我不知道你等到的究竟是什么（笑）
18:57:T2: 好吧，北边能拖延一下就不用往东了。
18:57:Plough: 签名还是失矧GET
18:57:Plough: 打打打
18:58:varna: 这么说吧
18:58:varna: 你指望在哪个位置和何种规模的敌人作战呢
18:59:T2: 他肯定在savo东边，上面至少3dd 下面3dd+2ca+1bb 
19:00:T2: 当然也可能反过来
19:00:varna: 如果这些东西都已经进入他们的射程了，你的下场基本可以注定，而他们的行动也基本可以预测
19:01:T2: 所以才说怎么看都是堵在家里捅死的节奏啊
19:01:varna: 華の命は移り逝く 闘う鬼百合となり 後ろにはさがらない （笑）
19:01:T2: 当然我的4dd会堵住一边的。
19:01:varna: 你看了多少个可能的交战形态和战斗位置呢……
19:01:varna: 堵住233333333333
19:01:Plough: 4DD?
19:02:Plough: 没剧透么……
19:02:varna: 人不在
19:02:Plough: 有log
19:02:varna: 反正历史上也是4dd
19:02:T2: Plough: 这没关系的。
19:02:Plough: 那就中
19:02:varna: 而且说实话，美军前期的驱逐舰也就是布雷和反潜好点
19:03:sismvg: 柯南结局，朗姆酒：琴酒我是卧底！ 琴酒：啊，我也是
19:03:T2: 只要能拖出一个时间差让我把一边的dd干掉。
19:03:varna: （笑）
19:04:varna: 你预计多少轮能干掉/干掉一个之后对面在多少距离上
19:04:varna: 假如对方足够机 智的话
19:04:T2: 好吧
19:04:T2: 我强烈要求向东扩展300海里。
19:04:sismvg: http://www.ithome.com/html/it/122156.htm
19:04:sismvg: 跪
19:04:Plough: 七姑妈一炮爆了对面铁相80血……
19:05:T2: 2333
19:05:varna: 你的起始点在东边隔300nm？
19:06:T2: 好吧，这是被堵在家里被迫狙击节奏。
19:06:lh_bot: geordi: << TYPE<add_const<int &>>;
19:06:geordi: add_const<int&> 
19:06:lh_bot: geordi: << TYPE<add_const_t<int &>>;
19:06:geordi: int&
19:06:T2: 且战且退2333
19:06:varna: 退？
19:06:varna: 你打算放弃陆战一师的伙计们么
19:07:T2: 不是，我打算刚开始往前一点作个死。
19:07:T2: 然后搞个之字型什么的。
19:07:varna: 你知道自己的索敌范围是多少吧
19:08:T2: 雷达理论有5W，实际上我不相信那玩意。
19:08:varna: 卧槽
19:08:varna: 啊啊要出事了
19:08:varna: http://imgsrc.baidu.com/forum/w%3D580/sign=22374a77a864034f0fcdc20e9fc27980/615371a85edf8db1a2dff8ce0a23dd54574e745e.jpg
19:08:varna: 别说理论……你手头不是有数据么
19:09:T2: 好的我看看
19:09:Plough: 噗
19:09:Plough: 点卡不能用了？
19:10:varna: 快氪
19:10:varna: 最后一批金了
19:10:Plough: 我去折腾webmoney好了……
19:11:varna: 我再来张欧提券好了
19:19:boosure quit:Quit: Get your hand off of it
19:20:condy: geordi: << TYPE<add_const_t<int>>
19:20:geordi: int const
19:20:condy: geordi: use int*
19:20:geordi: int* const
19:20:condy: geordi: use int&
19:20:geordi: error: cannot declare pointer to 'int&'
19:20:condy: geordi: show
19:20:geordi: << TYPE<add_const_t<int&*>>
19:20:condy: geordi: erase *
19:20:geordi: int&
19:23:POPOBE: geordi: 机器人君你会说中文吗
19:23:geordi: error: stray '\346' in program
19:23:varna: POPOBE: 来不来围观以后的频道兵棋推演
19:23:POPOBE: 诶？
19:23:POPOBE: 是啥东西
19:23:POPOBE: 不过想看
19:24:varna: Seekrieg4，海战向的兵棋
19:24:lh_bot: geordi: <<"会"
19:24:geordi: 会
19:24:POPOBE: 在哪里在哪里
19:25:lh_bot: 引用类型算实体不算对象
19:25:POPOBE: <<"no I can't"
19:25:lh_bot: 所以 const 作用于引用本身
19:25:lh_bot: 但是问题在于……
19:25:POPOBE: geordi: <<"no I can't "
19:25:geordi: no I can't 
19:25:lh_bot: geordi: << TYPE<add_const_t<int [3]>>
