00:00:varna: 我这辈子也没见过电脑巫妖开大呢，说不定这次能知道他们其实是会放大的……
02:02:varna: 怎么这就变成赤城这个来路不正的改造航舰了
02:03:cleamoon__: 提督还是没出现？
02:03:varna: 爱宕！
02:03:varna: 一胸顶到欠雪脸上
02:03:varna: 提督一直都是职务室里的第一人称
02:03:varna: 爱宕的胸在摇……
02:03:cleamoon__: 我去弄个看看
02:03:varna: 然后一爪子把欠雪的衣服扒掉扔进澡堂了
02:03:varna: 里面是白的……
02:04:cleamoon__: ………
02:04:varna: 入渠福利中，此处可有鬼畜
02:04:varna: 噗，一声本格的娇喘
02:05:varna: 然后在隔壁的修理渠里看到了例行霸占此渠的赤城
02:05:varna: 修理时间十五小时，被一桶浇头上了
02:05:varna: 例行台词：「上上ne」
02:06:varna: 真是黑暗，如果是修十五小时的话，大概已经在里面泡了八九个小时了吧……
02:06:varna: eyecatch是BOB绘的川内级
02:07:varna: POI全程POI
02:08:varna: 还「水雷魂」……水雷战队难道不是靠精神注入棒的么……
02:08:cleamoon__: ………
02:09:varna: 之后是特训的情节……川内教机动，神通教炮击战
02:09:varna: NKC活跃气氛的介绍
02:10:varna: 结果每个人都学会了nico
02:11:varna: NKC终于上电视了，这一瞬间我泪流满面
02:13:varna: 咦，欠雪稍微有点胸的？
02:14:cleamoon__: 垫吧
02:14:varna: NKC倒是比立绘小了些，其实NKC挺有料的
02:15:varna: 雷击果然是北上大人负责……
02:16:varna: 差不多后面是第一视角的提督听长门汇报，还生硬地点了点头
02:16:cleamoon__: 23333
02:17:varna: 又在玩初弹跨射的把戏……
02:17:cleamoon__: 全图只剩一片300的矿，终于倒了一家
02:18:varna: 当然按照第三话应该展开情节的规律，长门传达了（被宪兵队带走的）提督的指示，要新编成的水雷战队（迫真）参加下次的作战
02:18:cleamoon__: 2333
02:19:varna: 一般来说一个水雷战队是1C4dG的编成
02:19:whocares_2 quit:Ping timeout: 264 seconds
02:19:varna: 次回……W岛攻略作战
02:19:varna: 直接13年秋活E5……
02:19:whocares_2 joined channel
02:20:varna: 看看这个合计3.75舰的水雷战队（迫真）会有什么表现吧
02:20:cleamoon__: 10级51也不用凋零……
02:20:varna: 另外一提，历史上欠雪所在的十一驱逐队只有三舰，算0.75艘军舰
02:20:varna: 同级同队的深雪在演习的时候被电酱断头
02:20:varna: 然后就没有然后了
02:21:cleamoon__: 2333
02:21:varna: 当然也有人预测三话定律有人断头的
02:21:varna: 不过群众指出阿武隈被北上用尻部断头实在太不悲壮
02:21:varna: 这同样是演习，阿武隈一头撞在北上的舰尾，然后头就掉了
02:21:varna: 后来给换了个新鼻子
02:22:lh_cat quit:Ping timeout: 245 seconds
02:22:varna: 该说当时日本的造舰技术还是奇特地感人
02:22:cleamoon__: 23333
02:23:varna: 至于第三话，W岛应该是威克岛，也就是游戏neta离岛栖鬼的头目
02:23:varna: E5之前的E4是铁底湾夜战，打亨德森机场
02:23:varna: 恐怕是舰娘运营以来最黑暗的头目战没有之一，可能还打住院了一两个
02:24:cleamoon__: 啊，看到了，死亡凋零
02:24:varna: 当时还原了陆战一师的顽强精神，头目按时间回血，于是可能有人打了两个小时之后算上道中劝退，最后根本没打掉血
02:24:cleamoon__: 住院？
02:25:varna: 然后就是连续作战、氪间宫回疲劳、鱼礁战术
02:25:cleamoon__: ……………
02:25:varna: 最后日本有个哥们肝力不足昏迷了
02:25:cleamoon__: …………………
02:25:varna: 恐怕实际上日军的作战比这个还痛苦
02:25:cleamoon__: 一方地上是四个地狱火，简直炫酷
02:26:varna: 三式弹的引信在瓜岛的地面上因为冲击力不足而难以引爆
02:26:cleamoon__: ……
02:26:varna: 而美军后来的做法更堂而皇之
02:26:varna: 原先的机场被炸了，他们弄了推土机来把树林推倒建了几个稍大的临时跑道
02:26:varna: 第二天日军的战果就蒸发了
02:26:cleamoon__: …………
02:27:varna: 大概因为这个历史而设定了飞行场姬回血，不过在那之后似乎运营保证为游戏性考虑不再推出回血的头目战了……
02:27:cleamoon__: ……
02:28:cleamoon__: 太难打咯？
02:28:varna: 以现在的阵容来说大概是轻而易举的事情，即使我也能顺利推掉
02:28:varna: 不过当时毕竟游戏系统不太完善，玩家也刚刚开始会玩
02:28:cleamoon__: 我去，最高英雄10，10，9，最低544
02:28:varna: ...
02:28:cleamoon__: soga
02:29:varna: 而且还有个奇妙设定
02:29:varna: E4的铁底湾头目战从夜战开始，Boss带了五个小弟
02:29:varna: 夜战只打一轮，Boss飞机场不出手
02:29:varna: 如果2、3号位没有被都大破或者击破，那么可以进入昼战
02:29:varna: 不然这仗到此为止……
02:30:varna: 于是就有些强行吃B胜或者A胜滚的
02:30:varna: 反正头目没打掉，重来吧
02:31:cleamoon_ joined channel
02:31:varna: 流传至今的也有个dalao, 他成功惊险地击破了头目，然后跟我一样猫战果了
02:31:varna: 可惜他那时候的业务逻辑和事务处理不如现在健全
02:31:varna: 于是算他没击破，重来吧
02:31:cleamoon_: 换个网都会掉
02:31:cleamoon_: 23333
02:31:varna: 现在还能找到他的视频，那家伙真哭了
02:32:varna: 总之动画就这么E5大概是跳过了少儿不宜的桥段……
02:33:varna: 不然把提督们的脏字连在一起都能凑足一话
02:33:varna: 当然E4其实就是肛旗对code_new的那一场
02:34:cleamoon quit:Ping timeout: 256 seconds
02:34:varna: http://imgsrc.baidu.com/forum/w%3D580%3B/sign=b701348dbb0e7bec23da03e91f15b838/574e9258d109b3de1282c4eacfbf6c81800a4c76.jpg
02:34:varna: ^ 私服的宣传海报
02:35:cleamoon_: 2333
02:35:varna: 一个微小的差别
02:35:varna: 舰娘游戏的logo上，剪影是最后一次改修的长门
02:35:varna: 动画的logo是大和
02:35:cleamoon_: ...
02:35:varna: PSV和街机则分别是瑞鹤和伊势
02:35:cleamoon_: 有人玩私服吗
02:35:varna: 这里私服用的是大和
02:35:varna: 真有
02:36:varna: 私服充够20000RMB有些小小的特权
02:36:varna: 什么低保线四倍啊，自然回复提升到六倍啊
02:36:varna: 上线送资源送桶啊
02:36:varna: 这样的东西
02:37:cleamoon_: .........
02:37:cleamoon_: 简直了
02:37:varna: 20kRMB啊
02:37:cleamoon_: 再加一个200k直接送船好了
02:38:varna: 但是如果换成日服，一个稍微想氪点金玩得稍微方便点的玩家说不定只要氪200RMB
02:38:varna: 私服还有签到抽奖送船什么的……
02:38:varna: 比如签到一天送个NKC（当然为了和谐改成了奇怪的名字，不叫NKC了）
02:39:varna: 因为和谐的名字一股奇特的逗比武侠风所以被称为古舰奇谭
02:39:cleamoon_: 233333
02:39:cleamoon_: 我看看他们能不能赚够1亿
02:39:varna: 放肆，450就够了
02:40:varna: 然后他们今天（北京时间）公厕
02:40:whocares_2 quit:Ping timeout: 245 seconds
02:40:varna: 说前一万注册的玩家随机送大和武藏俾斯麦其一……
02:41:varna: 不过我最后听到的说法，是他们的用户数据库被人提权之后拿到了
02:41:varna: 真假未知
02:43:whocares_2 joined channel
02:43:cleamoon_: 233333
02:43:cleamoon_: 那个条子还不去抄了他们
02:44:varna: 我现在还是有点意识模糊
02:44:varna: 即使是喜欢花钱玩游戏的人怎么也不想想哪个更便宜点……
02:44:varna: 舰娘可能一个月要花六到八块的VPN钱
02:44:varna: 如果不愿意课金或者是新人，这个钱就是唯一开销了
02:45:cleamoon_: cf和使命召唤哪个便宜...
02:45:varna: 而且更关键的问题是他们的游戏似乎现在也没有备案
02:46:cleamoon_: 腾讯可是世界上最赚钱的游戏企业
02:46:varna: 疼迅虽说山寨，但他们的游戏毕竟是合法游戏……
02:47:varna: 后来NGA有人揭了他们的老底
02:47:varna: 一开始那哥们似乎只是想做辅助，自己再工程了一点，不盈利
02:47:varna: 后来想盈利了，但是按照规律亏了不少
02:48:varna: 他干不下去了，于是把程序卖给了别的公司，自己也去担任主要开发和运营任务
02:48:varna: 差不多就这么回事
02:48:cleamoon_: 我只是说sb有的是...
02:48:varna: 但是疼迅也没让你一次氪个几百一千甚至上万的啊……
02:49:varna: 疼迅不都是慢慢地吸人钱，比如武器装备不能买下来，只能租一周之类
02:51:cleamoon_: 枪不都好几千吗
02:51:varna: 结果现在巫女巫女也学会了 http://tieba.baidu.com/p/3528469505
02:51:varna: 我听说改骗钱了，不那么直接标价
02:55:whocares_2 quit:Remote host closed the connection
02:56:cleamoon_: 咱们每人弄个吧，然后弄个bot注册用户，以后咱们就都发了
02:56:varna: 麻烦死了
02:57:varna: 我感觉明天的项目讨论结束之后我就差不多该回去睡了
02:58:varna: 要是想捞钱滚的话，不如联合肛旗把他那个再工程拿出来骗小孩
02:58:varna: 收钱给大和给大炮什么的
02:59:varna: 我觉得就他那个都比逗比私服做得像样子
02:59:cleamoon_: 也行
02:59:cleamoon_: 现在傻子太多骗子都不够用的
02:59:varna: 骗老太太确实
03:00:varna: 之前看新闻还有一直追着骗子给钱的，结果那个年轻的骗子都良心发现了
03:00:varna: 于是他拼着自己最后一丝黑心叫来了他师父
03:00:varna: 师父来了都吓尿了
03:02:cleamoon_: 23333
03:03:varna: 结局我忘了是怎么报警的了
03:03:varna: 总之那师父都不知道往下怎么继续骗
03:05:cleamoon_: 就直接说给我钱吧
03:06:varna: 就差没说这个
03:06:varna: 诈骗手法还是基本的抽奖活动之类
03:06:cleamoon_: 2333
03:07:varna: http://imgsrc.baidu.com/forum/w%3D580/sign=ecab5ce8262dd42a5f0901a3333a5b2f/d4b1aa0e7bec54e70d50139fba389b504ec26a05.jpg
03:07:varna: ^ 催人尿下的起名水准
03:08:cleamoon_: 2333
03:08:cleamoon_: 含玉
03:09:varna: 不知道有没有吹箫
03:09:varna: 比如把吹雪改个字
03:10:varna: 当然其实日文说「吹雪」其实就是blizzard
03:10:varna: 等等
03:11:varna: 含玉不就是含蛋……
03:11:varna: 我似乎明白了什么，这位估计深谙吉泽明步老师之道啊
03:11:cleamoon_: 含蛋+
03:11:varna: 都是tama
03:11:cleamoon_: 吹箫
03:12:cleamoon_: 再有个撸管
03:12:varna: 那叫路漫漫其修远兮，吾手上下而求索
03:12:varna: 精索静脉的索
03:14:varna: 其实读研之前我是不知道精索静脉这个东西的
03:14:lh_cat joined channel
03:14:varna: 不过后来我开始蛋疼，先自己查了些症状，听说到这词
03:15:varna: 后来本着一切自诊断都会高确率导出误诊的精神去了医院
03:15:varna: 结论只是撸少了
03:15:varna: 三管下去立竿见影
03:15:varna: 尽管如此我还是记住了精索静脉曲张这个病
03:16:varna: 结论：对男孩子出现第二性征之后的性教育还是很重要的
03:16:varna: 而且和如何对待异性同等重要的事情是如何维护自己的生殖器
03:21:cleamoon_: 精索静脉曲张到底是毛...
03:21:cleamoon_: 这个完全没有教过
03:21:varna: 总之只是蛋里的一坨静脉曲张了
03:22:varna: 跟一般的静脉曲张是一样的原理，总之让医生捏蛋就能诊断出来
03:22:cleamoon_: .....
03:22:varna: 实际诊断的时候确实也会捏
03:22:cleamoon_: 症状呢？蛋疼？
03:22:varna: 蛋疼
03:22:cleamoon_: 不怕蛋爆碎？
03:23:varna: 当时也挂了专家号，那老头带个一次性手套简单捏了下
03:23:varna: 你要相信你的蛋力
03:23:cleamoon_: 解决就是回家撸？
03:23:varna: 精索刭脉曲张可能要手术
03:23:varna: 不过一般发炎吃药+撸就行了
03:23:cleamoon_: 我看到过蛋爆碎，所以不很相信蛋力
03:25:varna: ...
03:25:varna: 之前去北京，回来路上还有个大一哥们不知道包皮垢呢
03:26:cleamoon_: 一米八的大男人在地上滚动嚎啕，似乎不是可以忍的范围
03:26:varna: ...
03:26:varna: 被什么爆碎了
03:26:cleamoon_: 不知道的很多了...  又没有这类书
03:27:varna: 而且我觉得弹爆碎的那位可以自杀了
03:27:cleamoon_: 我记得是同学的头槌
03:27:cleamoon_: 还有一个呢
03:27:varna: 一辈子没女朋友只是个没女伴的男人，蛋爆碎甚至没法当男人……
03:28:varna: 所以我偶尔会考虑一个问题：为什么蛋的功能不和腹腔内的器官集成起来
03:28:varna: 非得在屌下面加两个配重块……
03:29:cleamoon_: 也是
03:29:cleamoon_: 一个蛋可以生活吧
03:29:cleamoon_: 似乎够用的
03:29:varna: 一个蛋没问题
03:30:cleamoon_: 他是一个蛋挂了
03:30:varna: 只是有点蛋碎而已，至少能保证他性激素正常吧
03:31:cleamoon_: 应该吧，谁知道
03:31:cleamoon_: 我们学校都没有生理卫生课
03:31:FrankHB quit:Read error: Connection reset by peer
03:31:varna: 这种事情其实父母该主动教一点
03:32:varna: 不是什么可耻的事情，毕竟谁都该了解
03:32:FrankHB joined channel
03:33:varna: XJP: 年轻人不要老熬夜
03:33:varna: ^ 我感觉我被打成筛子
03:33:cleamoon_: 帝都，你懂的
03:34:cleamoon_: 很多我这么大的同学父母连“强奸”都不会说
03:34:cleamoon_: 似乎性这个完全不存在
03:34:varna: 太古板了，这样对孩子我觉得不好
03:34:varna: 至少教他们基本的生理卫生
03:35:cleamoon_: 我怀疑他们自己知不知道
03:35:varna: 鬼知道
03:35:cleamoon_: 帝都大多数孩子的性启蒙靠的是av
03:35:varna: 把屌和肝区别对待本身就不利于健康
03:35:cleamoon_: 你就知道多不靠谱了
03:36:varna: 大家知道不要成天做南西要养肝，但居然不知道如何清洗生殖器
03:36:varna: 这略麻烦
03:38:varna: http://zh.moegirl.org/70%E4%B8%87%E9%83%BD%E6%B2%A1%E6%9C%89%E4%BD%A0%E8%BF%98%E6%83%B3%E5%BD%93%E5%90%A7%E4%B8%BB 这里是舰吧事件前后，当个典型笑话看好了
03:38:xxxxxxxx joined channel
03:38:cleamoon_: 满地都是教辅，可是都没有一本保证没错的性启蒙教材呢
03:38:varna: 把贴吧当真没意思，所以这个笑话用来展示把贴吧当真有多逗乐
03:40:cleamoon_: 就看国服能挣多少了
03:40:varna: +
03:40:varna: 我觉得他们很清楚自己要卷钱走人
03:40:varna: 就看有没有傻多速
03:41:varna: 顺便一提
03:41:varna: 因为之前在舰吧的话题帖混得还算脸熟，所以加了他们的群
03:41:varna: 之前还有人在讨论如何建一个“正统”的新地方
03:42:varna: 我实在没法直视这种ACG受众自造山头的风气……
03:43:xxxxxxxx: 造个大新闻多好...
03:43:varna: 一群没什么干货的人在试图制造并先后抢占道德制高点的样子真是没法看
03:43:varna: 反正他们造个大新闻，我还是照样玩舰娘
03:45:hoxily quit:Ping timeout: 272 seconds
03:45:cleamoon_: 网(喷)络(子)时代谁声音大，说的多谁就赢了
03:46:varna: 难道不是有钱的人赚钱、嗓门大的人买喉糖么
03:47:cleamoon_: 赢也只是赢谁嗓门大这个称号呀
03:48:varna: 所以没什么用
03:48:xxxxxxxx: 有钱的脱裤 嗓门大的吃屌
03:48:varna: 很多人只是希望有个有人气的社区，而另一方面他们又不齿其中的大部分用户
03:49:xxxxxxxx: 比如C语言吧?
03:49:varna: 差不多
03:50:cleamoon_: 赚钱靠嗓门很难的，卖艺的挣钱的也是少数
03:50:varna: 网络上当然是越有钱越能赚钱
03:50:varna: 而现在贴吧开始赚这些小钱了，还把那种地方当真干嘛呢
03:50:xxxxxxxx: http://tieba.baidu.com/p/3528861305
03:52:varna: 噗
03:52:varna: http://www.moejn.com/kancolle/zuixin/
03:52:varna: 亮点自寻
03:55:cleamoon_: Arachnid，半里番的热血番
03:55:cleamoon_: 23333
03:56:cleamoon_: 你们还要学习一个，西方那一套！
03:56:cleamoon_: 这么个破安全系统。
03:56:cleamoon_: 半小时找出4个漏洞。
03:56:cleamoon_: Too Young, Too Simple
03:56:cleamoon_: Sometimes Naive!
03:56:varna: 虽说黑个站不是什么大事，但连个站都管不住小半天这也……
03:56:xxxxxxxx: 我跟他谈笑风生
03:59:* xxxxxxxx 不会黑站
03:59:varna: 你负责脱裤
04:00:xxxxxxxx: 我又没钱
04:01:varna: 而且那骇客似乎看错字了
04:01:cleamoon_: 羊驼给钱呗
04:01:varna: 负责开发的伙计叫钱弋……
04:02:varna: 我捐精
04:02:xxxxxxxx: 谁嘴大?
04:02:varna: 呦，他们恢复内容了
04:02:varna: 现在两边开始攻防
04:03:varna: 但如果注意文章ID, 会发现其实只是简单地把文章删掉了
04:03:varna: 也就是说他们没能回滚数据……
04:04:cleamoon_: 干什么不删了数据库
04:04:varna: 然后新加的两个公告瞬间蒸发
04:04:varna: 鬼知道
04:05:cleamoon_: 要是我黑的我就做一个站长卷款逃跑程序员追债的首页挂上
04:06:varna: 一开始挂了
04:06:varna: 后来被他们删了
04:06:varna: 就是黄鹤那个……
04:07:varna: 哦操不对
04:07:varna: 刚才新加的那两个公告是骇客加的……
04:07:xxxxxxxx: 话说黑站是靠服务器上跑的nginx版本存在的漏洞?
04:07:varna: 不知道
04:07:varna: cleamoon_: http://imgsrc.baidu.com/forum/w%3D580%3B/sign=49ea7a16452309f7e76fad1a42350ef3/c75c10385343fbf2b4b1c9a1b37eca8064388f96.jpg
04:08:varna: 你要的黄鹤
04:09:xxxxxxxx: 想不出怎么短时间就找出四个漏洞....
04:09:cleamoon_: 233333
04:11:varna: 这种时候不能没有黄鹤
04:11:xxxxxxxx: 有关部门不来一发水表怎么能算大新闻呢
